Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude,Longtitute
Öl 1 $ ,Karlevi,Vickleby sn,Algutsrums hd,Mörbylånga,,6275755.154,,,V s 900-t,RAK,,sten,smålandsporfyr,runsten,56.57557208,16.3833
Öl 2 †$ ,Algutsrums kyrka,Algutsrums sn,Algutsrums hd,Mörbylånga,,6283750.154,,,V,Pr3,,sten,,runsten,56.64731403,16.3833
Öl 3 †$ ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,,6268390.154,,,V efter 1050,Pr3 - Pr4?,,sten,,fragment av runsten,56.50963333,16.3833
Öl 4 $ ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,Kalmar läns museum (KLM 24962),6268390.154,,,V efter 1050,Pr4,,sten,grå kalksten,runsten,56.50968495,16.3833
Öl 5 † ,Bårby,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6264000.154,,,V,Pr3,,sten,,runsten,56.47037049,16.3833
Öl 6 $ ,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.154,,,V,Pr4,,sten,grå kalksten,runsten,56.48781846,16.3833
Öl 7 †$ ,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.154,,,V,Pr3,,sten,,runsten,56.48786996,16.3833
Öl 8 †M ,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.154,,,M s 1100-t,,,sten,,gravhäll,56.48792143,16.3833
Öl 9 † ,Kastlösa kyrka,Kastlösa sn,Gräsgårds hd,Mörbylånga,,6259160.154,,,V,Pr2 - Pr3?,,sten,,runsten,56.4271742,16.3833
Öl 10 †$ ,Alvlösa,Smedby sn,Gräsgårds hd,Mörbylånga,,6255100.154,,,V,Pr2 - Pr3?,,sten,,runsten,56.3908175,16.3833
Öl 11 $ ,Alvlösa,Smedby sn,Gräsgårds hd,Mörbylånga,,6254924.154,,,V,?,,sten,grå kalksten,fragment av runsten,56.38929042,16.3833
Öl 12 †$ ,Smedby kyrkogård,Smedby sn,Gräsgårds hd,Mörbylånga,,6253443.154,,,V,Pr2 - Pr3?,,sten,,runsten,56.3760606,16.3833
Öl 13 †$ ,Södra Möckleby,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,,6247821.154,,,V,RAK,,sten,,runsten,56.32569546,16.3833
Öl 14 †$ ,Södra Möckleby kyrkogård,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,,6247800.154,,,V,?,,sten,ljusgrå kalksten,fragment av runsten,56.32555813,16.3833
Öl 15 †$ ,Södra Möckleby kyrkogård,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,,6247800.154,,,V,RAK,,sten,,runsten,56.32560911,16.3833
Öl 16 † ,Gräsgårds kyrkogård,Gräsgårds sn,Gräsgårds hd,Mörbylånga,,6242620.154,,,V,Pr2,,sten,,runsten,56.27920664,16.3833
Öl 17 † ,Seby,Segerstads sn,Gräsgårds hd,Mörbylånga,,6247000.155,,,V,RAK,,sten,,runsten,56.31853674,16.3833
Öl 18 $ ,Seby,Segerstads sn,Gräsgårds hd,Mörbylånga,,6246416.154,,,V,Pr2 - Pr3?,,sten,grå ortocerkalksten,runsten,56.3133504,16.3833
Öl 19 † ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,,6258229.155,,,V,Pr4,,sten,,runsten,56.41933721,16.3833
Öl 20 † ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,,6258229.155,,,V,?,,sten,,runsten,56.41938823,16.3833
Öl 21 $ ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,I vapenhuset.,6258229.155,,,V,Pr3 - Pr4?,Nilsson attribuerar stenen till Korp.,sten,mörkgrå kalksten,runsten,56.41943923,16.3833
Öl 22 $ ,Hulterstads by,Hulterstads sn,Möckleby hd,Mörbylånga,I vapenhuset.,6257925.155,,,V,Pr3?,Nilsson attribuerar stenen till Korp.,sten,ljusgrå kalksten,fragment av runsten,56.41676403,16.3833
Öl 23 †$ ,Stenåsa kyrkogård,Stenåsa sn,Möckleby hd,Mörbylånga,,6265500.155,,,V,Pr1 - Pr2,,sten,,runsten,56.48474466,16.3833
Öl 24 †$ ,Stenåsa kyrkogård,Stenåsa sn,Möckleby hd,Mörbylånga,,6265500.155,,,V,?,,sten,,runsten,56.4847957,16.3833
Öl 25 $ ,Dröstorp,Sandby sn (nu Gårdby sn),Möckleby hd,Mörbylånga,,6274345.155,,,V,RAK,,sten,ljusröd kalksten,runsten,56.56416408,16.3833
Öl 26  ,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,,6272863.155,,,V,Pr4,Samma som gjort Öl 27.,sten,grå kalksten,runsten,56.5509255,16.3833
Öl 27 $ ,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,,6272850.155,,,V,Pr4,Samma som gjort Öl 26.,sten,grå kalksten,runsten,56.55086002,16.3833
Öl 28 $ ,Gårdby kyrkogård,Gårdby sn,Möckleby hd,Mörbylånga,,6275109.155,,A2; B2; C1; D1; E3 (?); F3; G4,V,Pr2?,Brand (S),sten,grå kalksten,runsten,56.57116854,16.3833
Öl 29 † ,Gårdby kyrkogård,Gårdby sn,Möckleby hd,Mörbylånga,,6275120.155,,,V,?,,sten,,fragment av runsten,56.57131826,16.3833
Öl 30 †$ ,Norra Möckleby kyrkogård,Norra Möckleby sn,Möckleby hd,Mörbylånga,,6280360.155,,,V,?,,sten,,fragment av runsten,56.6183585,16.3833
Öl 31 $ ,Runstens kyrka,Runstens sn,Runstens hd,Borgholm,,6286146.155,,,V,Pr3,,sten,gråbrun kalksten,runsten,56.67029444,16.65
Öl 32 †SENTIDA ,"Runsten, Bjärby?",Runstens sn,Runstens hd,Borgholm,,6287745.156,,,Sentida 1600-t,,,sten,,runsten,56.68468426,16.65
Öl 33 †$ ,Runstens kyrkoby,Runstens sn,Runstens hd,Borgholm,,6286318.155,kortkvist,,V,RAK,,sten,,fragment av runsten,56.67193916,16.65
Öl 34 †SENTIDA ,Runstens kyrka,Runstens sn,Runstens hd,Borgholm,,6286150.155,,,Sentida ca 1550,,,sten,,inskrift på pelare,56.67048379,16.65
Öl 35 †$SENTIDA ,Runstens kyrka,Runstens sn,Runstens hd,Borgholm,,6286150.155,,,Sentida ca 1550,,,övrigt,,mässbok tryckt 1541,56.6705349,16.65
Öl 36 $ ,Bjärby,Runstens sn,Runstens hd,Borgholm,,6287450.156,,"A4; B1; C9, C10; D5; E5; F3; 0",V,Pr2 - Pr3,,sten,grå kalksten,runsten,56.6822435,16.65
Öl 37 $ ,Lerkaka,Runstens sn,Runstens hd,Borgholm,,6288310.156,,,V,Pr3,,sten,grå ortocerkalksten,runsten,56.69000647,16.65
Öl 38 $ ,Lerkaka,Runstens sn,Runstens hd,Borgholm,,6288553.156,,,V,?,,sten,grå kalksten,fragment av runsten,56.69223659,16.65
Öl 39 $ ,Bägby bro,Gärdslösa sn,Runstens hd,Borgholm,,6294638.156,,,V,Pr2,,sten,grå kalksten,runsten,56.74685347,16.65
Öl 40 $ ,Bägby,Gärdslösa sn,Runstens hd,Borgholm,,6294680.156,,,V,Pr2,,sten,grå kalksten,runsten,56.74728121,16.65
Öl 41 †$ ,Bägby,Gärdslösa sn,Runstens hd,Borgholm,,6294068.156,,,V,Pr3,,sten,,runsten,56.74184435,16.65
Öl 42 †$ ,bron vid Gärdslösa kyrka,Gärdslösa sn,Runstens hd,Borgholm,Vid bron vid kyrkan.,6296547.156,,,V,RAK?,,sten,,runsten,56.76412521,16.65
Öl 43 $ ,Gärdslösa kyrka,Gärdslösa sn,Runstens hd,Borgholm,I tornrummet.,6296674.156,,,V,Pr3 - Pr4,Oddvar (S),sten,ljusblå kalksten,3 fragment av runsten,56.76531512,16.65
Öl 44  ,Bo,Bredsätra sn (nu Bredsättra),Runstens hd,Borgholm,"Skedemosse, Köpings sn",6301200.156,,,V,Pr2?,,sten,rödaktig kalksten,fragment av runsten,56.80595173,16.65
Öl 45 † ,Långbro,Räpplinge sn,Slättbo hd,Borgholm,,6301650.155,,,V,?,,sten,,fragment av runsten,56.81003805,16.65
Öl 46 $ ,Tingsflisan,Köpings sn,Slättbo hd,Borgholm,,6305905.156,,,V,Pr2?,,sten,grå kalksten,runsten,56.8482443,16.65
Öl 47 $ ,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,I vapenhuset.,6306080.156,,"A1; B1; C9, C10; D3; E4, E7; F3; 0",V,Pr4,,sten,gråvit sandsten,gavelsten till kista,56.84986467,16.65
Öl 48 $ ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,Till vänster om sakristidörren.,6306078.156,,,V,?,,sten,gulgrå kalksten,fragment av runsten,56.84989785,16.65
Öl 49 †$ ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,,6306070.156,kortkvist-s,,V,?,,sten,,runsten,56.84987719,16.65
Öl 50 $UTGÅR ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,,6306070.156,,,,,,sten,,runsten,56.84992824,16.65
Öl 51 $ ,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,I tornet.,6306077.156,,,V,?,,sten,röd kalksten,fragment av runsten,56.85004204,16.65
Öl 52 $ ,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:1, 15893:1) deponerad i vapenhuset.",6306080.156,,,V,Pr4?,,sten,gråbrun kalksten,2 fragment av runsten,56.85011994,16.65
Öl 53 M ,Alböke kyrkogård,Alböke sn,Slättbo hd,Borgholm,Kalmar slott,6313870.156,,,M ca 1150 eller senare,,,sten,,gravhäll,56.92002483,16.65
Öl 54 †$M ,Löts kyrka,Löts sn,Slättbo hd,Borgholm,På pelare i högkoret.,6310650.156,,,M,,,puts,kalkputs,målad eller ristad,56.89120186,16.65
Öl 55 †$ ,Högby kyrka,Högby sn,Åkerbo hd,Borgholm,,6338240.157,stuprunor,,V,?,,sten,,runsten,57.13864853,16.65
Öl 56 $ ,Källa ödekyrka,Källa sn,Åkerbo hd,Borgholm,"2 fragment på Kalmar läns museum (KLM 45211:1-2), ett i sakristian (SHM 29400:V:19).",6332312.157,R och s är kortkvistrunor,"A7; B3; C9, C10; D3; 0; F3; G6",V,Pr3,,sten,grå kalksten,runsten,57.08554568,16.65
Öl 57 †$ ,Källa ödekyrka,Källa sn,Åkerbo hd,Borgholm,,6332312.157,,,V,Pr3 - Pr4?,,sten,,fragment av runsten,57.085597,16.65
Öl 58 † ,Böda kyrka,Böda sn,Åkerbo hd,Borgholm,,6347210.158,,,V,Pr3,,sten,,runsten,57.21923258,16.65
Öl 59 † ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,,6268390.154,,,V,,,sten,kalksten,2 fragment av runsten,56.51248342,16.3833
Öl 60 †M ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,,6258229.155,,,M,,,metall,järn,dörrbeslag,56.42140754,16.3833
Öl AA29;33 M ,Källa ödekyrka,Källa sn,Åkerbo hd,Borgholm,På insidan av södra långhusmuren.,6332300.157,,,M,,,puts,kalkputs,putsinskrift,57.08569441,16.65
Öl ACTARC37;211 $M ,Eketorp,Gräsgårds sn,Gräsgårds hd,Mörbylånga,SHM (31597:P17:113),6241046.154,,,M?,,,sten,skiffer,platta,56.26740114,16.3833
Öl ATA430/37;16  ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,,6268584.154,,,V,,,sten,grå kalksten,fragment av runsten,56.51442365,16.3833
Öl ATA4684/43A $ ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,"I vapenhuset, stulen.",6258229.155,,,V,,Nilsson anser stenen vara ristad av Korp.,sten,ljusgrå kalksten,runsten,56.42160715,16.3833
Öl ATA4684/43B $ ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,I vapenhuset.,6258229.155,,,V,,Nilsson attribuerar stenen till Korp.,sten,blågrå kalksten,fragment av runsten,56.42165698,16.3833
Öl ATA4684/43C $ ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,,sten,brungrå kalksten,2 fragment av runsten,56.42170679,16.3833
Öl ATA4684/43D  ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,Nilsson attribuerar stenen till Assar.,sten,brungrå kalksten,2 fragment av runsten,56.42175657,16.3833
Öl ATA4684/43E $ ,Hulterstads prästgård,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258175.155,,,V,,Nilsson anser stenen vara ristad av Assar.,sten,kalksten,fragment av runsten,56.42132204,16.3833
Öl ATA4686/43 $ ,Åkerby,Runstens sn,Runstens hd,Borgholm,"Vid Himmelsberga, Långlöts sn.",6283980.155,,,V,?,,sten,grå kalksten,fragment av runsten,56.65279635,16.65
Öl ATA4700/43  ,Gärdslösa kyrka,Gärdslösa sn,Runstens hd,Borgholm,I tornrummet.,6296674.156,,,V,,,sten,rödgrå kalksten,fragment av runsten,56.7666841,16.65
Öl ATA4701/43  ,Alböke kyrkogård,Alböke sn,Slättbo hd,Borgholm,,6313876.156,,,V,Pr1 - Pr2? [Gräslund muntligt],,sten,rödvit kalksten,runsten,56.92099398,16.65
Öl ATA4703/43 $ ,Solberga (Tingsdal),Köpings sn,Slättbo hd,Borgholm,,6306058.156,,,V,RAK? [Gräslund muntligt],,sten,ljusröd sandsten,runsten,56.85093701,16.65
Öl ATA4705/43  ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,"Kalmar slott (KLM 12231), försvunnet.",6258231.155,,,V,,,sten,grå kalksten,fragment av runsten,56.42207266,16.3833
Öl ATA4375/56 $ ,Hulterstads prästgård,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258175.155,,,V,,,sten,kalksten,2 fragment av runsten,56.42162002,16.3833
Öl ATA4376/56A $ ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,,sten,kalksten,fragment av runsten,56.42215389,16.3833
Öl ATA4376/56B $ ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,,sten,kalksten,3 fragment av runsten,56.42220344,16.3833
Öl ATA4377/56A  ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,I vapenhuset.,6258229.155,,,V,?,,sten,kalksten,fragment av runsten,56.42225296,16.3833
Öl ATA4377/56B  ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,,6258229.155,,,V,,,sten,kalksten,fragment av runsten,56.42230245,16.3833
Öl ATA4378/56 $ ,"Triberga, Kristinero",Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6260250.155,,,V,,,sten,kalksten,fragment av runsten,56.44047749,16.3833
Öl ATA4063/60  ,Gårdstorp,Södra Möckleby sn,Gräsgårds hd,Mörbylånga,Kalmar slott (KLM 28352),6248301.154,,,V,,,sten,kalksten,fragment av runsten,56.33335953,16.3833
Öl ATA4064/60A $ ,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265963.154,,,V,,Ulf (S),sten,grå kalksten,fragment av runsten,56.49181386,16.3833
Öl ATA4064/60B  ,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265963.154,,,V,,,sten,grå kalksten,fragment av runsten,56.49186338,16.3833
Öl ATA4064/60C  ,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265963.154,,,V,,,sten,grå kalksten,fragment av runsten,56.49191287,16.3833
Öl ATA4976/70 $ ,Långlöts kyrka,Långlöts sn,Runstens hd,Borgholm,,6290610.156,,,V,,,sten,röd kalksten,2 fragment av runsten,56.71300434,16.65
Öl ATA3960/71  ,Mörbylånga by (12:3),Mörbylånga sn,Algutsrums hd,Mörbylånga,I kyrkan.,6266075.154,,,V,,,sten,grå kalksten,fragment av runsten,56.49301625,16.3833
Öl ATA6371/83  ,Solberga 4:8,Köpings sn,Slättbo hd,Borgholm,,6306175.156,,,V?,,,metall,koppar,bleck,56.8526899,16.65
Öl ATA423-2541-1996  ,Solberga 4:8,Köpings sn,Slättbo hd,Borgholm,,6306175.156,,,V?,,,metall,brons,bleck,56.85273996,16.65
Öl ATA411-4568-1998A  ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,,sten,kalksten,fragment av runsten,56.42279593,16.3833
Öl ATA411-4568-1998B $ ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,,sten,kalksten,fragment av runsten,56.42284513,16.3833
Öl ATA411-4568-1998C  ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,,sten,kalksten,fragment av runsten,56.42289431,16.3833
Öl ATA411-4568-1998D  ,Hulterstads kyrka,Hulterstads sn,Möckleby hd,Mörbylånga,I tornkammaren.,6258229.155,,,V,,,sten,kalksten,fragment av runsten,56.42294346,16.3833
Öl ATA322-4215-2004  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"I västra kyrkogårdsmurens utsida, 6 m S ingången till kyrkogården.",6306080.156,kortkvist-s,,V,,,sten,kalksten,fragment av runsten,56.85213792,16.65
Öl ATA326-1087-2007  ,Eketorp,Gräsgårds sn,Gräsgårds hd,Mörbylånga,SHM (31597:X13:1),6241046.154,,,V/M,,,metall,brons,bleck,56.26892655,16.3833
Öl BN57 $ ,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,,6272910.155,,,V,Pr4? [Gräslund muntligt],,sten,,fragment av runsten,56.55476081,16.3833
Öl BN83 $ ,"Klinta 3:2, 3:3 (nu 5:15)",Köpings sn,Slättbo hd,Borgholm,SHM (25840:59:3),6306591.156,,,V ca 950,,,metall,koppar,bleck,56.85687015,16.65
Öl BN84  ,"Klinta 3:2, 3:3 (nu 5:15)",Köpings sn,Slättbo hd,Borgholm,SHM (25840:59:3),6306591.156,,,V ca 950,,,metall,koppar,bleck,56.85691998,16.65
Öl Fv1911;274A $M ,Räpplinge kyrka,Räpplinge sn,Slättbo hd,Borgholm,SHM (14533:1),6300510.155,,,M ca 1150,,,sten,kalksten,häll till eskilstunakista,56.80243528,16.65
Öl Fv1911;274B $ ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,SHM (14533:2),6268390.154,,,V,Pr3 [Gräslund muntligt],,sten,kalksten,runsten,56.51441926,16.3833
Öl Fv1911;274C  ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,SHM (14533:3),6268390.154,,,V,Pr3 - Pr4?,,sten,glimmerskiffer,"gravhäll, gavelhäll",56.51446837,16.3833
Öl Fv1917(2);27 $ ,Hulterstads kyrkogård,Hulterstads sn,Möckleby hd,Mörbylånga,SHM (15736),6258229.155,,,V,,,sten,,2 fragment av runsten,56.42338462,16.3833
Öl Fv1918(2);15 $ ,Borgholms slott (?),Borgholm,Slättbo hd,Borgholm,SHM (15904:8),6305200.155,,,V?,,,sten,,bryne,56.84469417,16.65
Öl Fv1972;266 M ,Borgs kyrkoruin,Räpplinge sn,Slättbo hd,Borgholm,SHM,6305149.155,,,M s 1200-t,,,sten,rödaktig kalksten,gravhäll,56.84428645,16.65
Öl Fv1972;268 M ,Gärdslösa kyrka,Gärdslösa sn,Runstens hd,Borgholm,S. korsarmens v. mur.,6296674.156,,,M efter 1250,,,puts,kalkputs,putsinskrift,56.76833084,16.65
Öl Fv1973;202 M ,"Solberga 4:11, Hamnbassängen, Köpingsvik",Köpings sn,Slättbo hd,Borgholm,SHM,6306200.156,,,M,,,ben/horn,nötkreatur,"runben, revben",56.85381112,16.65
Öl Fv1973;203 $ ,"Solberga 4:11, Hamnbassängen, Köpingsvik",Köpings sn,Slättbo hd,Borgholm,,6306200.156,,,V/M,,,ben/horn,ben,"runben, revben",56.8538607,16.65
Öl Fv1974;214 M? ,Solberga 4:4,Köpings sn,Slättbo hd,Borgholm,,6306250.156,,,M?,,,ben/horn,nötkreatur,"runben, revben",56.85435866,16.65
Öl Fv1976;96A $ ,"Solberga 4:11, Köpingsvik",Köpings sn,Slättbo hd,Borgholm,,6306200.156,,,V/M,,,metall,koppar,bleck,56.85395978,16.65
Öl Fv1976;96B $ ,"Solberga 4:11, Köpingsvik",Köpings sn,Slättbo hd,Borgholm,,6306200.156,,,V/M,,,metall,koppar,bleck,56.85400928,16.65
Öl KALM1982;57  ,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265950.154,,,V,,,sten,ljusgrå kalksten,runsten,56.49307373,16.3833
Öl KLM22910  ,Sandby kyrkogård,Sandby sn,Möckleby hd,Mörbylånga,"Kalmar läns museum (KLM 22910), försvunnet.",6272910.155,,,V,,,sten,kalksten,fragment av runsten,56.55554624,16.3833
Öl Köping1  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,I tornet.,6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85308143,16.65
Öl Köping2  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,I vapenhuset.,6306083.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85315773,16.65
Öl Köping3  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15893), deponerad i tornet.",6306080.156,,,V,,,sten,gråaktig kalksten,fragment av runsten,56.85318019,16.65
Öl Köping5  ,Köpings kyrkogård,Köpings sn,Slättbo hd,Borgholm,I tornet.,6306080.156,,,V,,,sten,gråvit sandsten,gavelhäll till kista,56.85322952,16.65
Öl Köping7  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,I tornet.,6306080.156,,,V,,,sten,brunviolett kalksten,runsten,56.85327883,16.65
Öl Köping8  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:38), deponerad, i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85332812,16.65
Öl Köping9  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (17565:6(9)), deponerad i tornet.",6306080.156,,,V,,,sten,kalksten,fragment av runsten,56.85337737,16.65
Öl Köping10  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:37), deponerad i tornet.",6306080.156,kortkvist-s,,V,,,sten,brunviolett kalksten,fragment av runsten,56.8534266,16.65
Öl Köping11  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:15), deponerad i tornet.",6306080.156,,,V,,,sten,rödaktig kalksten,fragment av runsten,56.85347581,16.65
Öl Köping12  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:36), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85352498,16.65
Öl Köping13  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:6), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85357413,16.65
Öl Köping14  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:8), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85362325,16.65
Öl Köping15  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339A), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85367235,16.65
Öl Köping16  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:9), deponerad i tornet.",6306080.156,,,V,,,sten,grå kalksten,fragment av runsten,56.85372141,16.65
Öl Köping17  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339B), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85377046,16.65
Öl Köping18  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:2), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85381947,16.65
Öl Köping19  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:3), deponerad i tornet.",6306080.156,,,V,,,sten,grå kalksten,fragment av runsten,56.85386846,16.65
Öl Köping20  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:4), deponerad i vapenhuset.",6306080.156,,,V,,,sten,grå kalksten,fragment av runsten,56.85391742,16.65
Öl Köping21  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:1), deponerad i tornet.",6306080.156,,,V,,,sten,grå kalksten,fragment av runsten,56.85396635,16.65
Öl Köping22  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:5), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85401526,16.65
Öl Köping23  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (17565:2), deponerad i tornet.",6306080.156,kortkvist-s,,V,,,sten,grå kalksten,fragment av runsten,56.85406414,16.65
Öl Köping24  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:6), deponerad i vapenhuset.",6306080.156,,,V,,,sten,violettbrun kalksten,fragment av runsten,56.854113,16.65
Öl Köping25  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:7), deponerad i vapenhuset.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85416182,16.65
Öl Köping26  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:12), deponerad i vapenhuset.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85421062,16.65
Öl Köping27  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:2, 15535:5) deponerad i vapenhuset.",6306080.156,stuprunor,,V,,,sten,brunviolett kalksten,3 fragment av runsten,56.8542594,16.65
Öl Köping28  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (17565:8), deponerad i tornet.",6306080.156,,,V,,,sten,röd kalksten,fragment av runsten,56.85430814,16.65
Öl Köping29  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:4), deponerad i tornet.",6306080.156,kortkvist-s,,V,,,sten,grå kalksten,fragment av runsten,56.85435686,16.65
Öl Köping30  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:9), deponerad i vapenhuset.",6306080.156,"kortkvist-s, stuprunor",,V,,,sten,rödbrun kalksten,fragment av runsten,56.85440555,16.65
Öl Köping31  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (17565:4(1)), deponerad i tornet.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85445422,16.65
Öl Köping32  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (15535:6(7), 25339:10), deponerad i vapenhuset.",6306080.156,,,V,,,sten,grå kalksten,fragment av runsten,56.85450286,16.65
Öl Köping33  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:11), deponerad i tornet.",6306080.156,,,V,,,sten,blågrå kalksten,fragment av runsten,56.85455147,16.65
Öl Köping34  ,Köpings kyrka,Köpings sn,Slättbo hd,Borgholm,"SHM (25339:12), deponerad i vapenhuset.",6306080.156,,,V,,,sten,brunviolett kalksten,fragment av runsten,56.85460006,16.65
