Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude,Longtitute
N A80 M ,Rødven stavkirke,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,(62.6242 ; 7.4937),,,M,,,trä,trä,stavkyrkegrafitti,62.6242,7.4937
N A81 M ,Rødven stavkirke,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,(62.6242 ; 7.4937),,,M,,,trä,trä,stavkyrkegrafitti,62.6242,7.4937
N A82 M ,Rødven stavkirke,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,(62.6242 ; 7.4937),,,M,,,trä,trä,stavkyrkegrafitti,62.6242,7.4937
N A83 M ,Rødven stavkirke,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,(62.6242 ; 7.4937),,,M,,,trä,trä,stavkyrkegrafitti,62.6242,7.4937
N A84 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A85 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A86 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A87 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A88 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A89 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A90 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A91 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A92 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A93 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
N A94 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,stavkyrkegrafitti,61.1842,7.2334
