Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude_orig,Longtitude_orig,Latitude_add,Longtitude_add,Latitude_mix,Longtitute_mix
U Fv1992;164A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V,,,sten,sandsten,fragment av runsten,59.63113718,,59.6165,17.7235,59.63113718,17.7235
U Fv1992;164B $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1200-1230,,,ben/horn,ben,"runben, revben, fragment",59.63110545,,59.6165,17.7235,59.63110545,17.7235
U Fv1992;164C $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1200-1230,,,ben/horn,ben,"runben, revben, fragment",59.63107369,,59.6165,17.7235,59.63107369,17.7235
U Fv1992;165 $M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,o-runan har dubbelsidig bistav,,M 1175-1200,,,ben/horn,ben,"runben, revben, fragment",59.6310419,,59.6165,17.7235,59.6310419,17.7235
U Fv1992;166 $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V/M,,,ben/horn,ben,"runben, revben",59.63101008,,59.6165,17.7235,59.63101008,17.7235
U Fv1992;167A $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V/M,,,ben/horn,ben,"runben, revben, fragment",59.63008086,,59.6165,17.7235,59.63008086,17.7235
U Fv1992;167B  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V?,,,sten,röd sandsten,fragment av runsten,59.63004898,,59.6165,17.7235,59.63004898,17.7235
U Fv1992;167C $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V/M,,,ben/horn,ben,"runben, revben, fragment",59.63001707,,59.6165,17.7235,59.63001707,17.7235
U Fv1992;168A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V?,,,sten,röd sandsten,fragment av runsten,59.62998512,,59.6165,17.7235,59.62998512,17.7235
U Fv1992;168B $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V/M,,,sten,granit,granitskärva,59.62995315,,59.6165,17.7235,59.62995315,17.7235
U Fv1992;168C  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612100.161,,,V/M,,,ben/horn,ben,"runben, revben, fragment",59.62992115,,59.6165,17.7235,59.62992115,17.7235
U Fv1992;169  ,Berga,Ununge sn,Närdinghundra ,Norrtälje,,6648620.166,,,V,RAK,,sten,ljus granit,runsten,59.95759569,,59.759,18.7036,59.95759569,18.7036
U Fv1993;231  ,Frösunda kyrkogård,Frösunda sn,Seminghundra ,Vallentuna,,6613652.163,,"A1; B1; C9, C10; D4; 0; F3; 0",V ca 1100,?,,sten,grå och brunaktig granit,runsten,59.64378412,,59.5342,18.0771,59.64378412,18.0771
U Fv1993;233  ,Hammarby kyrkogård,Hammarby sn,Vallentuna ,Upplands-Väsby,,6603825.162,,,V,?,,sten,ljusgrå granit med röda inslag,runsten,59.55556785,,59.5184,17.9113,59.55556785,17.9113
U Fv1993;234 U ,Dragby,Skuttunge sn,Bälinge ,Uppsala,Museum Gustavianum (UUMF6001),6652820.16,,,U 400-t,,,övrigt,keramik,krukskärva,59.99518466,,59.8586,17.6389,59.99518466,17.6389
U Fv1993;235  ,Torsvi gård,Torsvi sn,Trögds ,Enköping,,6598000.159,,,V,?,Balle (A),sten,ljusgrå grovkornig granit,fragment av runsten,59.50323159,,59.6362,17.0792,59.50323159,17.0792
U Fv1993;236 M ,Uppsala,Uppsala,,Uppsala,,6638875.16,,,M 1100-t - 1200-t,,,sten,täljsten,amulett,59.8699903,,59.8586,17.6389,59.8699903,17.6389
U Fv2009;312 † ,Näle,Vallentuna sn,Vallentuna ,Vallentuna,,6604750.162,,,V,Pr3 [Fv 2009],,sten,,runsten,59.56374022,,59.5342,18.0771,59.56374022,18.0771
U Fv2012;59 † ,Gamla Uppsala kyrka,Gamla Uppsala sn (nu Uppsala),Vaksala ,Uppsala,,6643643.16,,,V,Pr5(?) [Fv 2012],,sten,granit(?),fragment av runsten,59.91270893,,59.8586,17.6389,59.91270893,17.6389
