Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
SE Fv1988;247  ,?,?,"?, Sverige",?,SHM (10683),,,,?,,,sten,mörk grönsten,skafthålsyxa,,
"SE IK365,1 U ",?,?,"?, Sverige",?,Museum Gustavianum (UUMF2302),,,,U,,,metall,guld,brakteat (C-typ),,
"SE IK365,7 U ",?,?,"?, Sverige",?,Museum Gustavianum (UUMF2303),,,,U,,,metall,guld,brakteat (C-typ),,
SE Owe1996b;136  ,?,?,"?, Sverige",?,"Runverket, Raä, Stockholm",,,,V,,,sten,,fragment av runsten,,
SE SHMFid45487  ,?,?,"?, Sverige",?,SHM,,,,V?,,,sten,,fragment av runlös sten,,
DR 1  ,"Haddeby 1, Wedelspang",Selk,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Selk,Museum vorgesch. Altertümer i Kiel,,,,V efter-Jelling,RAK,,sten,röd granit,runsten,,
DR 2  ,"Haddeby 2 (Vedelspang 1), Wedelspang",Selk,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Selk,Museum vorgesch. Altertümer i Kiel,,,,"V Jelling, efter år 934",RAK,,sten,granit,runsten,,
DR 3  ,"Haddeby 3 (Dannevirke/Busdorf), Busdorf",Busdorf,"Amt Haddeby, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Busdorf,,,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 4  ,"Haddeby 4, Schloss Gottorf",Stadt Schleswig,"Stadt Schleswig (Schleswig-Holstein, Sydslesvig)",Schleswig,Museum vorgesch. Altertümer i Kiel,,,,"V Jelling, efter år 934",RAK,,sten,granit,runsten,,
DR 5 †M ,Slesvig,Stadt Schleswig,"Stadt Schleswig (Schleswig-Holstein, Sydslesvig)",Schleswig,,,,,M,,,metall,järn,dörr med beslag,,
DR 6  ,Slesvig,Stadt Schleswig,"Stadt Schleswig (Schleswig-Holstein, Sydslesvig)",Schleswig,Slesvigs domkyrka,,,,V kristen efter-Jelling,?,,sten,kalksten,runsten,,
DR 7 $U ,"Torsbjerg, Thorsberg",Süderbrarup,"Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Süderbrarup,Flensburg Stadtmuseum (5767),,,,U 210/220-250/260 (Imer 2007),,,metall,brons,doppsko,,
DR 8 $U ,"Torsbjerg, Thorsberg",Süderbrarup,"Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Süderbrarup,Flensburg Stadtmuseum (3262),,,,U 210/220-250/260 (Imer 2007),,,metall,brons,sköldbuckla,,
DR 9 † ,Nørre Brarup (Arrild),Norderbrarup,"Amt Süderbrarup, Angeln, Kreis Schleswig-Flensburg, (Schleswig-Holstein, Sydslesvig)",Norderbrarup,,,,,V Helnæs-Gørlev,,,sten,granit,runsten,,
DR 10 U? ,Frøslev,Bov sn ,"Lundtoft hd, Sønderjylland",Aabenraa,Museum vorgesch. Altertümer i Kiel (F. S. 6976),,,,U? osäker datering,,,trä,trä,pinne,,
DR 11 †U ,Gallehus,Møgeltønder sn,"Lø hd, Sønderjylland",Tønder,,(54.9586733355867; 8.81251799844678),,,U 400-450,,,metall,guld,horn,54.95867334,8.812517998
DR 12 †U ,Gallehus,Møgeltønder sn,"Lø hd, Sønderjylland",Tønder,,(54.9586733355867; 8.81251799844678),,,U 375/400-460/470 (Imer 2007),,,metall,guld,horn,54.95867334,8.812517998
DR 13 †U ,"Nydam, Nydam engmose",Sottrup sn,"Nybøl hd, Sønderjylland",Sønderborg,Museum vorgesch. Altertümer i Kiel,(54.9603868861657 ; 9.72682690129138),,,U 310/320-375/400 (Imer 2007),,,trä,trä,pil,54.96038689,9.726826901
DR 14 M ,Bjolderup,Bjolderup sn,"Rise hd, Sønderjylland",Aabenraa,Museum vorgesch. Altertümer i Kiel,(54.9603868861657 ; 9.72682690129138),,,M ca 1200,,,sten,granit,runsten,54.96038689,9.726826901
DR 15  ,Øster Løgum,Øster Løgum sn,"Sønder Rangstrup hd, Sønderjylland",Aabenraa,3 km söder Immervads bro.,(55.1402239992017 ; 9.34452011770081),,,V för-Jelling,RAK,,sten,granit,runsten,55.140224,9.344520118
DR 16 M ,Hoptrup,Hoptrups sn,"Haderslevs hd, Sønderjylland",Haderslev,Hoptrups kyrka,,,,M ca 1175-1200,,,sten,granit,dopfunt,,
DR 17  ,Starup,Starup sn,"Haderslevs hd, Sønderjylland",Haderslev,söder om kyrkan,(55.248181897322 ; 9.53267135692406),,,V Helnæs-Gørlev,RAK,,sten,granit,runsten,55.2481819,9.532671357
DR 18 U ,Strårup,Dalby sn,"Tyrstrup hd, Sønderjylland",Kolding,Nationalmuseet (8563),(55.4757589697331 ; 9.52473938150322),,,U 160-375/400 (Imer 2007),,,metall,guld,halsring,55.47575897,9.524739382
DR 19 M ,Darum,Darum sn,"Gørding hd, Nørrejylland",Esbjerg,Nationalmuseet (D7874),(55.4757589697331 ; 9.52473938150322),,,M,,,sten,granit,vigvattenkar,55.47575897,9.524739382
DR 20 M ,Gørding,Gørding sn,"Gørding hd, Nørrejylland",Esbjerg,Nationalmuseet (D2572),(55.4757589697331 ; 9.52473938150322),,,M 1200-t,,,metall,silver,ring,55.47575897,9.524739382
DR 21 M ,Åstrup 1,Åstrup sn,"Gørding hd, Nørrejylland",Vejen,Åstrups kyrka,,,,M 1150-1200,,,sten,granit,kvadersten,,
DR 22 $M ,Åstrup 2,Åstrup sn,"Gørding hd, Nørrejylland",Vejen,koret i Åstrups kyrka,,,,M 1150-1200,,,sten,granit,kvadersten,,
DR 23 M ,Åstrup 3,Åstrup sn,"Gørding hd, Nørrejylland",Vejen,I korväggen i Åstrups kyrka.,,,,M 1150-1200,,,sten,granit,kvadersten,,
DR 24 M ,Holsted,Holsted sn,"Malt hd, Nørrejylland",Vejen,I Holsteds nya kyrka.,,,,M,,,sten,granit,profilerad byggnadssten,,
DR 25 M ,Føvling,Føvling sn,"Malt hd, Nørrejylland",Vejen,I vapenhuset i Føvlings kyrka.,,,,M,,,sten,granit,gravhäll,,
DR 26  ,Læborg,Læborg sn,"Malt hd, Nørrejylland",Vejen,Læborgs kyrkogård,(55.5229520189867 ; 9.11474704979342),,,V för-Jelling,RAK,"Tuve, Ravns ättling",sten,granit,runsten,55.52295202,9.11474705
DR 27 M ,Vamdrup 1,Vamdrup sn,"Anst hd, Nørrejylland",Kolding,"Ett fragment på Koldinghus, ett annat Kongeåmuseet i Vamdrup.",(55.4266356644747 ; 9.27307604476129),,,M,,,sten,granit,fragment av gravhäll,55.42663566,9.273076045
DR 28 †M ,Vamdrup 2,Vamdrup sn,"Anst hd, Nørrejylland",Kolding,,(55.4266356644747 ; 9.27307604476129),,,M,,,sten,,gravhäll,55.42663566,9.273076045
DR 29  ,Bække 1,Bække sn,"Anst hd, Nørrejylland",Vejen,Mellan kyrkan och vägen.,(55.5691043709007 ; 9.13700175954512),,,V för-Jelling,RAK,"Tuve, Ravns ättling?",sten,granit,runsten,55.56910437,9.13700176
DR 30 $ ,Bække 2,Bække sn,"Anst hd, Nørrejylland",Vejen,,(55.5818112265406 ; 9.14499448171951),,,V Jelling,RAK,,sten,granit,runsten,55.58181123,9.144994482
DR 31 M ,Brøndum,Brøndum sn,"Hindborg hd, Nørrejylland",Skive,,(55.543771970543 ; 8.47774655601881),,,M ca 1200,,,sten,granit,dopfunt,55.54377197,8.477746556
DR 32 M ,"Brøndum, prästgården",Brøndum sn,"Hindborg hd, Nørrejylland",Skive,Nationalmuseet (D 3989),(55.543771970543 ; 8.47774655601881),,,M,,,sten,granit,runsten,55.54377197,8.477746556
DR 33 M ,Ål,Ål sn,"Vester Horne hd, Nørrejylland",Varde,,(55.6318621490826 ; 8.28298784652942),,,M,,,sten,granit,kvadersten,55.63186215,8.282987847
DR 34  ,Horne,Horne sn,"Øster Horne hd, Nørrejylland",Varde,På kyrkogården.,(55.7239816704633 ; 8.53014226682793),,,V för-Jelling,RAK?,"Tuve, Ravns ättling?",sten,granit,runsten,55.72398167,8.530142267
DR 35 M ,Eltang,Eltang sn,"Brusk hd, Nørrejylland",Kolding,Nationalmuseet (D 52/1950),(55.5378275973439 ; 9.53626074715579),,,M,,,sten,granit,runsten,55.5378276,9.536260747
DR 36 $ ,Sønder Vilstrup,Sønder Vilstrup sn,"Brusk hd, Nørrejylland",Kolding,Nu vid Landerupgård.,(55.569704477012 ; 9.55935620203385),,,V Jelling,RAK,,sten,granit,fragment av runsten,55.56970448,9.559356202
DR 37  ,Egtved,Egtved sn,"Jerlev hd, Nørrejylland",Vejle,,,,,V Jelling,RAK,,sten,granit,runsten,,
DR 38 M ,Pjedsted,Pjedsted sn,"Holmans hd, Nørrejylland",Fredericia,Nationalmuseet (5139),,,,M,,,trä,ek,"kista, endast locket bevarat",,
DR 39 M ,Pjedsted,Pjedsted sn,"Holmans hd, Nørrejylland",Fredericia,Nationalmuseet (D. 1425),,,,M,,,sten,granit,runsten,,
DR 40  ,Randbøl,Randbøl sn,"Tørrild hd, Nørrejylland",Vejle,,(55.6560317674359 ; 9.21434459709161),,,V Jelling,RAK,,sten,granit,runsten,55.65603177,9.214344597
DR 41  ,Jelling 1,Jelling sn,"Tørrild hd, Nørrejylland",Vejle,,(55.7565577351861 ; 9.4195920341267),,,V Jelling,RAK,,sten,granit,runsten,55.75655774,9.419592034
DR 42  ,Jelling 2,Jelling sn,"Tørrild hd, Nørrejylland",Vejle,,(55.7565665570536 ; 9.41963993100627),,,V Jelling,"Fp, Pr1?",,sten,granit,runsten,55.75656656,9.419639931
DR 43 M ,Vejle,Vejle sn,"Nørvang hd, Nørrejylland",Vejle,Collectio Wimmeriana,(55.7565665570536 ; 9.41963993100627),,,M,,,sten,sten,stenyxa,55.75656656,9.419639931
DR 44  ,Grindsted,Grindsted sn,"Slavs hd, Nørrejylland",Billund,Grindsted Museum (G. 270),,,,V Jelling,?,,sten,granit,fragment av runsten,,
DR 45 M ,Give,Give sn,"Nørvang hd, Nørrejylland",Vejle,Nationalmuseet (D.5820),,,,M,,,övrigt,glas,glas,,
DR 46 M ,Oddum (Ådum),Ådum sn,"Nørre Horne hd, Nørrejylland",Ringkøbing-Skjern,,(55.8746634391659 ; 8.59527413007202),,,M,,,sten,granit,runsten,55.87466344,8.59527413
DR 47 $M ,Lønborg,Lønborg sn,"Nørre Horne hd, Nørrejylland",Ringkøbing-Skjern,Nationalmuseet (D.772),(55.8746634391659 ; 8.59527413007202),,,M,,,metall,järn,dörrbeslag,55.87466344,8.59527413
DR 48 M ,Hanning,Hanning sn,"Bølling hd, Nørrejylland",Ringkøbing-Skjern,,(55.8746634391659 ; 8.59527413007202),k-runan i Gyþu stungen på huvudstaven under bistaven,,M,,,sten,granit,runsten,55.87466344,8.59527413
DR 49 M ,Sædding,Sædding sn,"Bølling hd, Nørrejylland",Ringkøbing-Skjern,,(55.8746634391659 ; 8.59527413007202),,,M ca 1150,,,sten,granit,kvadersten,55.87466344,8.59527413
DR 50 M ,Ikast,Ikast sn,"Hammerum hd, Nørrejylland",Ikast-Brande,Nationalmuseet (D. 5003),,,,M s 1200-t,,,metall,brons,svärdknapp,,
DR 51 M ,Handbjerg,Handbjerg sn,"Hjerm hd, Nørrejylland",Holstebro,,,,,M ca 1200,,,sten,granit,dopfunt,,
DR 52 M ,Ejsing,Ejsing sn,"Ginding hd, Nørrejylland",Holstebro,Nationalmuseet (D. 4918),,"""karaktärer""",,M,,,sten,sandsten,amulett,,
DR 53  ,Gylling,Gylling sn,"Hads hd, Nørrejylland",Odder,,(55.8903907898226 ; 10.1645943624185),,,V Jelling,RAK,,sten,granit,runsten,55.89039079,10.16459436
DR 54 $SENTIDA ,Morsholt Mose (Odder),Odder sn,"Hads hd, Nørrejylland",Odder,Odder museum,(55.8903907898226 ; 10.1645943624185),,,Sentida 1700-t(?),,,trä,ek,träkanot,55.89039079,10.16459436
DR 55  ,Sønder Vissing 1,Sønder Vissing sn,"Tyrsting hd, Nørrejylland",Horsens,,,,,"V Jelling, 2. hälften av 900-t",RAK,,sten,granit,runsten,,
DR 56  ,Sønder Vissing 2,Sønder Vissing sn,"Tyrsting hd, Nørrejylland",Horsens,I vapenhuset.,,,,V Jelling,RAK,,sten,granit,runsten,,
DR 57 M ,Vedslet,Vedslet sn,"Voer hd, Nørrejylland",Horsens,Moesgård Museum. Århus (1065),,,,M,,,sten,sandsten,amulett,,
DR 58  ,Hørning,Hørning sn,"Hjelmslev hd, Nørrejylland",Skanderborg,Moesgård Museum. Århus,,,A1; B2; 0; D1; 0; F3; G4,V kristen efter-Jelling,RAK,Toke smed,sten,granit,runsten,,
DR 59 M ,Øm,Ry sn,"Tyrsting hd, Nørrejylland",Skanderborg,Øm klostermuseum,(56.0521445156078 ; 9.74927571856255),,,M,,,övrigt,tegel,fragment av tegelsten,56.05214452,9.749275719
DR 60 M ,Øm,Ry sn,"Tyrsting hd, Nørrejylland",Skanderborg,Øm klostermuseum,(56.0521445156078 ; 9.74927571856255),,,M,,,övrigt,tegel,fragment av tegelsten,56.05214452,9.749275719
DR 61 $UTGÅR ,Øm,Ry sn,"Tyrsting hd, Nørrejylland",Skanderborg,Øm klostermuseum,(56.0521445156078 ; 9.74927571856255),,,,,,övrigt,tegel,fragment av tegelsten,56.05214452,9.749275719
DR 62  ,Sjelle,Sjelle sn,"Framlev hd, Nørrejylland",Skanderborg,,(56.0521445156078 ; 9.74927571856255),,,V efter-Jelling,RAK,,sten,granit,runsten,56.05214452,9.749275719
DR 63  ,Århus 1,Århus sn,"Hasle hd, Nørrejylland",Aarhus,Moesgård Museum. Århus,(56.1918538867437 ; 10.2031191076298),stungen m-runa,,V efter-Jelling,RAK,Ev. samma som gjort DR 68,sten,granit,runsten,56.19185389,10.20311911
DR 65  ,Århus 3,Århus sn,"Hasle hd, Nørrejylland",Aarhus,Moesgård Museum. Århus,(56.1918538867437 ; 10.2031191076298),,,V efter-Jelling,RAK,,sten,granit,runsten,56.19185389,10.20311911
DR 66  ,Århus 4,Århus sn,"Hasle hd, Nørrejylland",Aarhus,Moesgård Museum. Århus,(56.1918538867437 ; 10.2031191076298),,,V efter-jelling,RAK,,sten,granit,runsten,56.19185389,10.20311911
DR 67  ,Århus 5,Århus sn,"Hasle hd, Nørrejylland",Aarhus,Moesgård Museum. Århus,(56.1918538867437 ; 10.2031191076298),,,V efter-Jelling,RAK,Ev. samma som gjort DR 69,sten,granit,runsten,56.19185389,10.20311911
DR 68  ,Århus 6,Århus sn,"Hasle hd, Nørrejylland",Aarhus,Moesgård Museum. Århus,(56.1918538867437 ; 10.2031191076298),stungen m-runa,,V efter-Jelling,RAK?,Ev. samma som gjort DR 63,sten,granit,runsten,56.19185389,10.20311911
DR 69  ,Vejlby,Vejlby sn,"Hasle hd, Nørrejylland",Aarhus,Moesgård Museum. Århus,(56.1918538867437 ; 10.2031191076298),,A9; B2; 0; 0; 0; F1; 0,V kristen efter-Jelling,RAK,Ev. samma som gjort DR 67,sten,granit,runsten,56.19185389,10.20311911
DR 70  ,Hammel 1,Hammel sn,"Gjern hd, Nørrejylland",Favrskov,I kyrkomuren.,,,,V för-Jelling,RAK,,sten,granit,runsten,,
DR 71 †M ,Hammel 2,Hammel sn,"Gjern hd, Nørrejylland",Favrskov,,,,,M,,,sten,,kragsten,,
DR 72 M ,Funder,Funder sn,"Hids hd, Nørrejylland",Silkeborg,I portalen mellan vapenhus och kyrkan.,,,,M ca 1150,,,sten,granit,pelarsten,,
DR 73 M ,Kragelund,Kragelund sn,"Hids hd, Nørrejylland",Silkeborg,,,,,M ca 1150,,,sten,granit,överliggare,,
DR 74 M ,Vejerslev,Vejerslev sn,"Houlbjerg hd, Nørrejylland",Favrskov,,(56.3057530609612 ; 9.71573034132643),påverkade av majuskelskrift,,M,,,sten,granit,gravhäll,56.30575306,9.715730341
DR 75 M ,Sale 1,Sahl sn,"Houlbjerg hd, Nørrejylland",Viborg,Moesgård Museum. Århus,(56.3958070925177 ; 9.68183879814174),,,M 1100-t,,,sten,granit,gravhäll,56.39580709,9.681838798
DR 76 M ,Sale 2,Sahl sn,"Houlbjerg hd, Nørrejylland",Viborg,,(56.3958070925177 ; 9.68183879814174),,,M,,,sten,granit,gravhäll,56.39580709,9.681838798
DR 77  ,Hjermind 1,Hjermind sn,"Middelsom hd, Nørrejylland",Viborg,,(56.3958070925177 ; 9.68183879814174),,,V efter-Jelling,RAK,,sten,granit,runsten,56.39580709,9.681838798
DR 78 † ,Hjermind 2,Hjermind sn,"Middelsom hd, Nørrejylland",Viborg,,(56.3958070925177 ; 9.68183879814174),,,V efter-Jelling,RAK,,sten,,runsten,56.39580709,9.681838798
DR 79 † ,Le,Lee sn,"Middelsom hd, Nørrejylland",Viborg,,(56.3958070925177 ; 9.68183879814174),,A1; B1; C9; D3; E9; F2 ; 0,V,RAK?,,sten,,runsten,56.39580709,9.681838798
DR 80  ,Skern 1,Skjern sn,"Middelsom hd, Nørrejylland",Viborg,,(56.4550779417705 ; 9.75265439844891),,,V Jelling el. efter-Jelling,RAK,,sten,granit,fragment av runsten,56.45507794,9.752654398
DR 81  ,Skern 2,Skjern sn,"Middelsom hd, Nørrejylland",Viborg,Kyrkogården,(56.4550871351644 ; 9.75262009780261),,,V efter-Jelling,RAK,,sten,granit,runsten,56.45508714,9.752620098
DR 82  ,Sønder Vinge 1,Sønder Vinge sn,"Middelsom hd, Nørrejylland",Favrskov,Ulstrup herrgård,(56.3957938600401 ; 9.79051098274839),,,V efter-Jelling,RAK,,sten,granit,runsten,56.39579386,9.790510983
DR 83 $ ,Sønder Vinge 2,Sønder Vinge sn,"Middelsom hd, Nørrejylland",Favrskov,,(56.3957938600401 ; 9.79051098274839),,,V efter-Jelling,RAK,,sten,granit,runsten,56.39579386,9.790510983
DR 84 † ,Langå 1,Langå sn,"Middelsom hd, Nørrejylland",Randers,,(56.3947241502379 ; 9.89163699750547),,,V efter-Jelling,RAK,,sten,,runsten,56.39472415,9.891636998
DR 85 † ,Langå 2,Langå sn,"Middelsom hd, Nørrejylland",Randers,,(56.3947241502379 ; 9.89163699750547),,,V Jelling,RAK,,sten,,runsten,56.39472415,9.891636998
DR 86  ,Langå 3,Langå sn,"Middelsom hd, Nørrejylland",Randers,,(56.3947241502379 ; 9.89163699750547),,,V efter-Jelling,RAK,,sten,granit,runsten,56.39472415,9.891636998
DR 87  ,Langå 4,Langå sn,"Middelsom hd, Nørrejylland",Randers,Randers museum,(56.3947241502379 ; 9.89163699750547),,,V Jelling el. efter-Jelling,RAK,,sten,granit,fragment av runsten,56.39472415,9.891636998
DR 88 † ,Langå 5,Langå sn,"Middelsom hd, Nørrejylland",Randers,,(56.3947241502379 ; 9.89163699750547),,,V Jelling el. efter-Jelling,,,sten,granit,fragment av runsten,56.39472415,9.891636998
DR 89 † ,Langå 6,Langå sn,"Middelsom hd, Nørrejylland",Randers,,(56.3947241502379 ; 9.89163699750547),,,V Jelling el. efter-Jelling,,,sten,granit,fragment av runsten,56.39472415,9.891636998
DR 90 † ,Torup,Torup sn,"Middelsom hd, Nørrejylland",Randers,,(56.3947241502379 ; 9.89163699750547),,,V Jelling(?),,,sten,,runsten,56.39472415,9.891636998
DR 91  ,Grensten,Grensten sn,"Middelsom hd, Nørrejylland",Randers,,(56.4207652784169 ; 9.92413508324737),,,V kristen efter-Jelling,RAK,Toke smed,sten,granit,runsten,56.42076528,9.924135083
DR 92 M ,Vester Velling,Vester Velling sn,"Middelsom hd, Nørrejylland",Favrskov,,(56.3957938600401 ; 9.79051098274839),,,M,,,sten,granit,gravhäll,56.39579386,9.790510983
DR 93  ,Øster Velling,Øster Velling sn,"Middelsom hd, Nørrejylland",Randers,Nationalmuseet,(56.3947241502379 ; 9.89163699750547),,,V Jelling el. efter-Jelling,RAK,,sten,granit,fragment av runsten,56.39472415,9.891636998
DR 94  ,Ålum 1,Ålum sn,"Sønderlyng hd, Nørrejylland",Randers,,(56.4523726214159 ; 9.83275697378558),,,V efter-Jelling,RAK,,sten,granit,runsten,56.45237262,9.832756974
DR 95  ,Ålum 2,Ålum sn,"Sønderlyng hd, Nørrejylland",Randers,,(56.4523726214159 ; 9.83275697378558),,,V efter-Jelling,RAK,,sten,granit,fragment av runsten,56.45237262,9.832756974
DR 96  ,Ålum 3,Ålum sn,"Sønderlyng hd, Nørrejylland",Randers,,(56.4523726214159 ; 9.83275697378558),,,V kristen efter-Jelling,RAK,Ev. samma som gjort DR 97,sten,granit,runsten,56.45237262,9.832756974
DR 97  ,Ålum 4,Ålum sn,"Sønderlyng hd, Nørrejylland",Randers,,(56.4523726214159 ; 9.83275697378558),,,V efter-Jelling,RAK,Ev. samma som gjort DR 96,sten,granit,runsten,56.45237262,9.832756974
DR 98  ,Bjerregrav 1,Øster Bjerregrav sn,"Sønderlyng hd, Nørrejylland",Randers,,(56.4886408875804 ; 9.90511359647088),,,V efter-Jelling,RAK,,sten,granit,runsten,56.48864089,9.905113596
DR 99  ,Bjerregrav 2,Øster Bjerregrav sn,"Sønderlyng hd, Nørrejylland",Randers,,(56.4886276918909 ; 9.90503877007492),,,V efter-Jelling,RAK,,sten,granit,runsten,56.48862769,9.90503877
DR 100A †M? ,Viborg,Viborg,"Nørlyng hd, Nørrejylland",Viborg,Möjligen på British Museum,,,,M? Eller från nyare tid?,,,trä,trä,pinne,,
DR 100B $ ,Viborg,Viborg,"Nørlyng hd, Nørrejylland",Viborg,Nationalmuseet (C. 7429),,,,V 800-900 (Imer 2007),,,metall,brons,spänne,,
DR 101 M ,Mønsted 1,Mønsted sn,"Fjends hd, Nørrejylland",Viborg,,,,,M ca 1100-1150,,,sten,granit,överliggare över fönster,,
DR 102 M ,Mønsted 2,Mønsted sn,"Fjends hd, Nørrejylland",Viborg,,,,,M,,,sten,granit,kvadersten,,
DR 103 M ,Hvidbjerg,Hvidbjerg sn,"Hindborg hd, Nørrejylland",Skive,,(56.572545460745 ; 8.92850491108118),,,M,,,sten,granit,rullsten,56.57254546,8.928504911
DR 104 M ,Selde,Selde sn,"Nørre hd, Nørrejylland",Skive,,(56.572545460745 ; 8.92850491108118),,,M,,,sten,granit,dopfunt,56.57254546,8.928504911
DR 105  ,Laurbjerg,Laurbjerg sn,"Galten hd, Nørrejylland",Favrskov,,,kortkvist-a och -n,,V för-Jelling,RAK,,sten,granit,runsten,,
DR 106 † ,Ørum,Ørum sn,"Galten hd, Nørrejylland",Randers,,,,,V Jelling(?),,,sten,,runsten,,
DR 107  ,Egå,Egå sn,"Øster Lisbjerg hd, Nørrejylland",Aarhus,Nationalmuseet (nr LVI),,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 108  ,Kolind,Kolind sn,"Djurs Sønder hd, Nørrejylland",Syddjurs,,(56.3616955229326 ; 10.5912575916408),,,V efter-Jelling,RAK,,sten,granit,runsten,56.36169552,10.59125759
DR 109  ,Øster Alling,Øster Alling sn,"Sønderhald hd, Nørrejylland",Norddjurs,,,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 110  ,Virring,Virring sn,"Sønderhald hd, Nørrejylland",Randers,,,,,V Jelling,RAK,,sten,granit,runsten,,
DR 111 $M ,Gesing 1,Gjesing sn (Gesing),"Skast hd, Nørrejylland",Esbjerg,Nationalmuseet (nr DLXVI),,,,M s 1100-t,,,sten,granit,gravhäll,,
DR 112 † ,Gesing 2,Gjesing sn (Gesing),"Skast hd, Nørrejylland",Esbjerg,,,,,V?,,,sten,,runsten,,
DR 113 † ,Vejlby,Vejlby sn,"Djurs Sønder hd, Nørrejylland",Norddjurs,,,,,V?,,,sten,,runsten,,
DR 114 $ ,Rimsø,Rimsø sn,"Djurs Nørre hd, Nørrejylland",Norddjurs,,,,,V Jelling,RAK,,sten,granit,runsten,,
DR 115  ,Randers 1,Randers sn,"Støvring hd, Nørrejylland",Randers,Randers Museum,,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 116 $ ,Randers 2,Randers sn,"Støvring hd, Nørrejylland",Randers,Randers museum,,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 117  ,Mejlby,Mejlby sn,"Øster Lisbjerg hd, Nørrejylland",Aarhus,Randers Museum,,,,V Jelling,RAK,,sten,granit,runsten,,
DR 118  ,Stenalt,Ørsted sn,"Rougsø hd, Nørrejylland",Norddjurs,,,,,V Jelling,RAK,,sten,granit,runsten,,
DR 119  ,Spentrup 1,Spentrup sn,"Nørhald hd, Nørrejylland",Randers,,,,,V efter-Jelling,RAK,,sten,granit,fragment av runsten,,
DR 120 $ ,Spentrup 2,Spentrup sn,"Nørhald hd, Nørrejylland",Randers,Randers museum,,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 121 $ ,Asferg,Asferg sn,"Nørhald hd, Nørrejylland",Randers,Nationalmuseet,,,,V efter-Jelling,RAK,,sten,glimmergranit,runsten,,
DR 122  ,Glenstrup 1,Glenstrup sn,"Nørhald hd, Nørrejylland",Mariagerfjord,Nationalmuseet (2),(56.5955371665065 ; 9.81393903818409),,,V efter-Jelling,RAK,,sten,granit,runsten,56.59553717,9.813939038
DR 123  ,Glenstrup 2,Glenstrup sn,"Nørhald hd, Nørrejylland",Mariagerfjord,,(56.5955371665065 ; 9.81393903818409),,,V efter-Jelling,RAK,,sten,granit,runsten,56.59553717,9.813939038
DR 124 $ ,Vester Tørslev,Vester Tørslev sn,"Nørhald hd, Nørrejylland",Mariagerfjord,,(56.5955371665065 ; 9.81393903818409),,A8; B2; C9; 0; 0; F1; 0,V Jelling el. kristen efter-Jelling,RAK,,sten,granit,runsten,56.59553717,9.813939038
DR 125 $ ,Dalbyover,Dalbyover sn,"Gjerlev hd, Nørrejylland",Randers,,,,,V Jelling,,,sten,granit,runsten,,
DR 126 † ,Hobro 1,Hobro sn,"Onsild hd, Nørrejylland",Mariagerfjord,,,,,V periode 3.2,RAK,,sten,,runsten,,
DR 127  ,Hobro 2,Hobro sn,"Onsild hd, Nørrejylland",Mariagerfjord,Hobro Museum,,,,V efter-Jelling,RAK,,sten,granit,runsten,,
DR 128 †M ,Øls,Øls sn,"Hindsted hd, Nørrejylland",Mariagerfjord,,,,,M,,,sten,marmor?,gravhäll,,
DR 129  ,Durup,Durup sn,"Gislum hd, Nørrejylland",Rebild,Nøragergårds trädgård,(56.7035294770678 ; 9.6308326001656),,A8; B2; 0; 0; 0; F1; 0,V efter-Jelling,RAK,Samma som gjort DR 131,sten,granit,fragment av runsten,56.70352948,9.6308326
DR 130  ,Giver,Giver sn,"Års hd, Nørrejylland",Vesthimmerland,I vapenhuset.,(56.8294151220911 ; 9.58231147327064),,,V efter-Jelling,RAK,,sten,granit,runsten,56.82941512,9.582311473
DR 131  ,Års,Års sn,"Års hd, Nørrejylland",Vesthimmerland,På kyrkogården.,(56.8048596338664 ; 9.51379237366097),,,V efter-Jelling,RAK,Samma som gjort DR 129,sten,granit,runsten,56.80485963,9.513792374
DR 132  ,Flejsborg,Flejsborg sn,"Års hd, Nørrejylland",Vesthimmerland,I vapenhuset.,(56.8048596338664 ; 9.51379237366097),,,V Jelling,RAK,,sten,granit,runsten,56.80485963,9.513792374
DR 133  ,Skivum,Skivum sn,"Års hd, Nørrejylland",Vesthimmerland,,(56.8048596338664 ; 9.51379237366097),,,V Jelling,RAK,,sten,granit,runsten,56.80485963,9.513792374
DR 134 $ ,Ravnkilde 1,Ravnkilde sn,"Års hd, Nørrejylland",Rebild,,(56.755172409419 ; 9.7564339195674),,,V efter-Jelling,RAK,,sten,granit,runsten,56.75517241,9.75643392
