Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
N KJ38 U ,Gjersvik,Tysnes sn,Hordaland fylke,Tysnes,Bergen museum (6700),,,,U 520/530-560/570 (Imer 2007),,,ben/horn,ben,skrapkniv,,
N KJ39 U ,Nedre Hov,Gran/Tingelstad sn,Oppland fylke,Gran,Oldsaksamlingen (C4459),,,,U 160-310/320 (Imer 2007),,,ben/horn,ben,skrapkniv,,
N KJ40 $U ,Setre,Bømlo sn,Hordaland fylke,Bømlo,Bergen museum (B8350),,,,U 560/570-600 (Imer 2007),,,ben/horn,ben,kam,,
N KJ44 $U ,Frøyhov,Udenes sn,Akershus fylke,Nes,Oldsaksamlingen (C 3704),(60.06628 ; 11.37072),,,U 160-210/220 (Imer 2007),,,metall,brons,staty,60.06628,11.37072
N KJ48 U ,Fosse,Time sn,Rogaland fylke,Time,Stavanger museum (66940),,,,U 375/400-460/470 (Imer 2007),,,metall,brons,beslag,,
N KJ49 U ,Førde,Førde sn,Sogn og Fjordane fylke,Førde,Bergen museum (B2929),,,,U 520/530-560/570 (Imer 2007),,,sten,täljsten,sänksten,,
N KJ49B U ,Fuglset,Molde,Møre og Romsdal fylke,Molde,"Vitenskapsmuseet, NTNU",,,,U,,,sten,,"fragment av runsten, sänke till nät?",,
N KJ50 $U ,Strøm (Straum),Hitra sn (Dolm),Sør-Trøndelag fylke,Hitra,"Vitenskapsmuseet, NTNU (8780)",,,,U 520/530-560/570? (Imer 2007),,,sten,sandsten,bryne,,
N KJ51 $U ,Utgård,Stod sn,Nord-Trøndelag fylke,Steinkjer,"Vitenskapsmuseet, NTNU (11786)",,,,U 375/400-560/570 (Imer 2007),,,sten,täljsten,amulettsten,,
N KJ51B U ,Fedje,Vik sn,Sogn og Fjordane fylke,Vik,"Heibergske samlinger, Sogn folkemuseum, Kaupanger",,,,U 375/400-560/570 (Imer 2007),,,sten,skiffer,stenplatta,,
N KJ53 U ,Kårstad,Utvik sn,Sogn og Fjordane fylke,Stryn,Bergen museum (B7975),,,,U 160-375/400 (Imer 2007),,,sten,,runhäll,,
N KJ55 U ,"Valsfjord, Oksvoll",Nes sn,Sør-Trøndelag fylke,Bjugn,,,,,U 375/400-460/470 (Imer 2007),,,sten,granit,runhäll,,
N KJ55B †U ,Hammeren,Beitstad sn,Nord-Trøndelag fylke,Steinkjer,,,,,U,,,sten,,runhäll,,
N KJ55C U ,Hammeren,Beitstad sn,Nord-Trøndelag fylke,Steinkjer,300 m Ö om N KJ55B,,,,U,,,sten,,runhäll,,
N KJ55D U ,Oppauran,Skatval sn,Nord-Trøndelag fylke,Stjørdal,,(63.4980 ; 10.8005),,,U eller sentida?,,,sten,,runhäll,63.498,10.8005
N KJ56 †U ,Veblungsnes,Grytten sn,Møre og Romsdal fylke,Rauma,,,,,U 375/400-560/570 (Imer 2007),,,sten,,runhäll,,
N KJ57 U ,Elgesem,Sandar sn,Vestfold fylke,Sandefjord,Oldsaksamlingen (C.17791),,,,U 160-560/570 (Imer 2007),,,sten,,runsten,,
N KJ58 $U ,Årstad,Sokndal sn,Rogaland fylke,Sokndal,Oldsaksamlingen (C.3639),(58.33956 ; 6.29709),,,U 160-375/400 (Imer 2007),,,sten,granit,runsten,58.33956,6.29709
N KJ60 U ,Vetteland,Ogna sn,Rogaland fylke,Hå,Stavanger museum (4851),,,,U 160-375/400 (Imer 2007),,,sten,granit,runsten,,
N KJ62 U ,Tørvika,Jondals sn,Hordaland fylke,Jondal,Bergen museum (B3542F),,,,U 375/400-560/570 (Imer 2007),,,sten,glimmerskiffer,runsten,,
N KJ63 U ,"Einang, Valdres",Slidre sn,Oppland fylke,Vestre Slidre,,,,,U 350/375-400 (Imer 2007),,,sten,skiffer,runsten,,
N KJ64 U ,Barmen,Selje sn,Sogn og Fjordane fylke,Selje,,,,,U 160-520/530 (Imer 2007),,,sten,gnejs,runsten,,
N KJ65 U ,Nordhuglo,Stord sn,Hordaland fylke,Stord,Bergen museum (6439),,,,U 375/400-520/530 (Imer 2007),,,sten,gnejs,runsten,,
N KJ68 U ,Vatn,Agdenes sn,Sør-Trøndelag fylke,Agdenes,"Vitenskapsmuseet, NTNU (1397)",,,,U 560/570-775/800 (Imer 2007),,,sten,lerskiffer,runsten,,
N KJ69 U ,Rosseland,Vikøy sn,Hordaland fylke,Kvam,Bergen museum (B10538),,,,U 160-375/400 (Imer 2007),,,sten,skiffer,runsten,,
N KJ71 U ,By,Sigdal sn,Buskerud fylke,Sigdal,Oldsaksamlingen (3810),,,,U 375/400-560/570 (Imer 2007),,,sten,granulit,runsten,,
N KJ72 $U ,Tune,Tune sn,Østfold fylke,Sarpsborg,Oldsaksamlingen (2092),(59.29215 ; 11.08336),,,U 375/400-520/530 (Imer 2007),,,sten,granit,runsten,59.29215,11.08336
N KJ74 U ,Reistad,Hidra sn,Vest-Agder fylke,Flekkefjord,Oldsaksamlingen (2837),,,,U 160-520/530 (Imer 2007),,,sten,granit,runsten,,
N KJ75 U ,Kjølevik,Strand sn,Rogaland fylke,Strand,Oldsaksamlingen (11706),(59.1072 ; 5.9536),,,U 375/400-520/530 (Imer 2007),,,sten,granit,runsten,59.1072,5.9536
